Postal District,Average Price,Date
SY5,"£327,253",20200417
SY6,"£369,354",20200417
SY7,"£338,507",20200417
SY8,"£301,444",20200417
SY9,"£301,378",20200417
SY10,"£293,478",20200417
SY11,"£206,881",20200417
SY12,"£263,120",20200417
SY13,"£268,673",20200417
SY14,"£384,942",20200417
SY15,"£258,331",20200417
SY16,"£184,366",20200417
SY17,"£216,216",20200417
SY18,"£183,317",20200417
SY19,"£222,444",20200417
SY20,"£188,693",20200417
SY21,"£221,209",20200417
SY22,"£242,585",20200417
SY23,"£222,249",20200417
SY24,"£224,974",20200417
SY25,"£201,082",20200417
SY99,,20200417
TA1,"£256,501",20200417
TA2,"£260,097",20200417
TA3,"£397,417",20200417
TA4,"£351,019",20200417
TA5,"£321,256",20200417
TA6,"£197,613",20200417
TA7,"£326,624",20200417
TA8,"£252,010",20200417
TA9,"£277,607",20200417
TA10,"£353,441",20200417
TA11,"£366,691",20200417
TA12,"£290,960",20200417
TA13,"£368,497",20200417
TA14,"£332,591",20200417
TA15,"£352,119",20200417
TA16,"£291,232",20200417
TA17,"£476,565",20200417
TA18,"£263,858",20200417
TA19,"£313,891",20200417
TA20,"£271,742",20200417
TA21,"£273,099",20200417
TA22,"£385,233",20200417
TA23,"£243,276",20200417
TA24,"£296,518",20200417
TD1,"£160,008",20200417
TD2,"£261,238",20200417
TD3,"£215,115",20200417
TD4,"£171,095",20200417
TD5,"£198,861",20200417
TD6,"£242,164",20200417
TD7,"£172,669",20200417
TD8,"£180,142",20200417
TD9,"£144,458",20200417
TD10,"£186,435",20200417
TD11,"£202,289",20200417
TD12,"£200,528",20200417
TD13,"£230,070",20200417
TD14,"£187,372",20200417
TD15,"£190,373",20200417
TF1,"£194,756",20200417
TF2,"£188,580",20200417
TF3,"£151,711",20200417
TF4,"£185,379",20200417
TF5,"£255,224",20200417
TF6,"£343,873",20200417
TF7,"£136,618",20200417
TF8,"£285,476",20200417
TF9,"£272,137",20200417
TF10,"£282,345",20200417
TF11,"£302,945",20200417
TF12,"£238,104",20200417
TF13,"£379,371",20200417
TN1,"£430,081",20200417
TN2,"£508,320",20200417
TN3,"£793,441",20200417
TN4,"£490,623",20200417
TN5,"£615,621",20200417
TN6,"£456,454",20200417
TN7,"£892,424",20200417
TN8,"£548,413",20200417
TN9,"£390,153",20200417
TN10,"£457,152",20200417
TN11,"£666,042",20200417
TN12,"£465,990",20200417
TN13,"£748,354",20200417
TN14,"£661,188",20200417
TN15,"£645,811",20200417
TN16,"£500,880",20200417
TN17,"£602,805",20200417
TN18,"£504,220",20200417
TN19,"£538,363",20200417
TN20,"£676,612",20200417
TN21,"£431,522",20200417
TN22,"£473,112",20200417
TN23,"£261,318",20200417
TN24,"£277,562",20200417
TN25,"£435,005",20200417
TN26,"£493,653",20200417
TN27,"£538,844",20200417
TN28,"£319,015",20200417
TN29,"£283,150",20200417
TN30,"£469,948",20200417
TN31,"£415,684",20200417
TN32,"£499,686",20200417
TN33,"£461,987",20200417
TN34,"£256,931",20200417
TN35,"£308,928",20200417
TN36,"£397,149",20200417
TN37,"£247,333",20200417
TN38,"£253,242",20200417
TN39,"£348,626",20200417
TN40,"£244,777",20200417
TQ1,"£255,025",20200417
TQ2,"£254,266",20200417
TQ3,"£238,103",20200417
TQ4,"£256,987",20200417
TQ5,"£277,480",20200417
TQ6,"£484,108",20200417
TQ7,"£437,557",20200417
TQ8,"£702,887",20200417
TQ9,"£390,448",20200417
TQ10,"£360,341",20200417
TQ11,"£275,430",20200417
TQ12,"£274,496",20200417
TQ13,"£371,454",20200417
TQ14,"£321,109",20200417
TR1,"£300,015",20200417
TR2,"£436,918",20200417
TR3,"£403,076",20200417
TR4,"£300,943",20200417
TR5,"£401,448",20200417
TR6,"£322,467",20200417
TR7,"£282,176",20200417
TR8,"£334,058",20200417
TR9,"£234,161",20200417
TR10,"£267,263",20200417
TR11,"£361,060",20200417
TR12,"£380,862",20200417
TR13,"£281,530",20200417
TR14,"£209,523",20200417
TR15,"£202,061",20200417
TR16,"£263,038",20200417
TR17,"£355,181",20200417
TR18,"£252,251",20200417
TR19,"£307,788",20200417
TR20,"£341,155",20200417
TR21,"£467,970",20200417
TR22,—,20200417
TR23,"£599,476",20200417
TR24,—,20200417
TR25,"£423,489",20200417
TR26,"£384,170",20200417
TR27,"£265,077",20200417
TR93,,20200417
TS1,"£64,413",20200417
TS2,"£61,041",20200417
TS3,"£73,367",20200417
TS4,"£114,094",20200417
TS5,"£149,512",20200417
TS6,"£123,487",20200417
TS7,"£210,636",20200417
TS8,"£179,832",20200417
TS9,"£333,005",20200417
TS10,"£143,638",20200417
TS11,"£161,212",20200417
TS12,"£157,382",20200417
TS13,"£137,880",20200417
TS14,"£187,250",20200417
TS15,"£306,137",20200417
TS16,"£227,446",20200417
TS17,"£165,896",20200417
TS18,"£144,193",20200417
TS19,"£131,207",20200417
TS20,"£137,668",20200417
TS21,"£202,966",20200417
TS22,"£294,184",20200417
TS23,"£117,796",20200417
TS24,"£102,466",20200417
TS25,"£126,172",20200417
TS26,"£169,031",20200417
TS27,"£154,500",20200417
TS28,"£119,107",20200417
TS29,"£101,886",20200417
TS90,,20200417
TW1,"£899,163",20200417
TW2,"£605,613",20200417
TW3,"£403,938",20200417
TW4,"£370,059",20200417
TW5,"£433,619",20200417
TW6,—,20200417
TW7,"£503,960",20200417
TW8,"£514,124",20200417
TW9,"£938,340",20200417
TW10,"£1,086,434",20200417
TW11,"£814,238",20200417
TW12,"£641,497",20200417
TW13,"£334,875",20200417
TW14,"£341,537",20200417
TW15,"£402,905",20200417
TW16,"£500,605",20200417
TW17,"£518,835",20200417
TW18,"£457,361",20200417
TW19,"£424,661",20200417
TW20,"£499,916",20200417
UB1,"£390,174",20200417
UB2,"£402,478",20200417
UB3,"£363,523",20200417
UB4,"£383,880",20200417
UB5,"£362,441",20200417
UB6,"£456,977",20200417
UB7,"£379,080",20200417
UB8,"£416,847",20200417
UB9,"£553,099",20200417
UB10,"£576,183",20200417
UB11,—,20200417
UB18,,20200417
W1A,,20200417
W1B,"£1,847,918",20200417
W1C,"£1,847,918",20200417
W1D,"£1,847,918",20200417
W1E,,20200417
W1F,"£1,847,918",20200417
W1G,"£1,847,918",20200417
W1H,"£1,847,918",20200417
W1J,"£1,847,918",20200417
W1K,"£1,847,918",20200417
W1M,,20200417
W1N,,20200417
W1P,,20200417
W1R,,20200417
W1S,"£1,847,918",20200417
W1T,"£1,847,918",20200417
W1U,"£1,847,918",20200417
W1V,,20200417
W1W,"£1,847,918",20200417
W1X,,20200417
W1Y,,20200417
W2,"£1,294,652",20200417
W3,"£628,978",20200417
W4,"£1,060,230",20200417
W5,"£821,906",20200417
W6,"£979,523",20200417
W7,"£569,651",20200417
W8,"£2,934,264",20200417
W9,"£907,741",20200417
W10,"£840,657",20200417
W11,"£2,024,174",20200417
W12,"£777,797",20200417
W13,"£730,932",20200417
W14,"£1,085,654",20200417
WA1,"£178,388",20200417
WA2,"£165,902",20200417
WA3,"£219,084",20200417
WA4,"£312,669",20200417
WA5,"£204,900",20200417
WA6,"£308,327",20200417
WA7,"£154,967",20200417
WA8,"£182,857",20200417
WA9,"£143,426",20200417
WA10,"£163,180",20200417
WA11,"£167,838",20200417
WA12,"£166,566",20200417
WA13,"£413,931",20200417
WA14,"£495,967",20200417
WA15,"£523,482",20200417
WA16,"£519,697",20200417
WA55,,20200417
WA88,,20200417
WC1A,"£762,783",20200417
WC1B,"£762,783",20200417
WC1E,"£762,783",20200417
WC1H,"£762,783",20200417
WC1N,"£762,783",20200417
WC1R,"£762,783",20200417
WC1V,"£762,783",20200417
WC1X,"£762,783",20200417
WC2A,"£1,233,752",20200417
WC2B,"£1,233,752",20200417
WC2E,"£1,233,752",20200417
WC2H,"£1,233,752",20200417
WC2N,"£1,233,752",20200417
WC2R,"£1,233,752",20200417
WC99,,20200417
WD1,,20200417
WD2,,20200417
WD3,"£739,541",20200417
WD4,"£661,842",20200417
WD5,"£501,338",20200417
WD6,"£483,115",20200417
WD7,"£1,038,165",20200417
WD17,"£567,921",20200417
WD18,"£370,969",20200417
WD19,"£473,393",20200417
WD23,"£587,077",20200417
WD24,"£376,125",20200417
WD25,"£444,299",20200417
WD99,—,20200417
WF1,"£185,167",20200417
WF2,"£221,468",20200417
WF3,"£217,393",20200417
WF4,"£222,498",20200417
WF5,"£198,347",20200417
WF6,"£169,850",20200417
WF7,"£178,618",20200417
WF8,"£192,438",20200417
WF9,"£140,197",20200417
WF10,"£156,964",20200417
WF11,"£150,361",20200417
WF12,"£164,190",20200417
WF13,"£131,001",20200417
WF14,"£217,529",20200417
