Postal District,Average Price,Date
NE62,"£124,044",20200417
NE63,"£115,754",20200417
NE64,"£97,095",20200417
NE65,"£239,775",20200417
NE66,"£245,513",20200417
NE67,"£263,095",20200417
NE68,"£234,657",20200417
NE69,"£406,866",20200417
NE70,"£222,006",20200417
NE71,"£201,435",20200417
NE82,,20200417
NE83,,20200417
NE85,,20200417
NE88,,20200417
NE89,,20200417
NE92,,20200417
NE98,,20200417
NE99,—,20200417
NG1,"£161,873",20200417
NG2,"£299,861",20200417
NG3,"£203,716",20200417
NG4,"£188,024",20200417
NG5,"£187,498",20200417
NG6,"£136,239",20200417
NG7,"£179,092",20200417
NG8,"£201,161",20200417
NG9,"£227,469",20200417
NG10,"£188,539",20200417
NG11,"£223,656",20200417
NG12,"£337,745",20200417
NG13,"£323,572",20200417
NG14,"£328,040",20200417
NG15,"£216,863",20200417
NG16,"£187,243",20200417
NG17,"£153,620",20200417
NG18,"£179,216",20200417
NG19,"£152,825",20200417
NG20,"£129,450",20200417
NG21,"£171,585",20200417
NG22,"£229,640",20200417
NG23,"£337,621",20200417
NG24,"£194,101",20200417
NG25,"£394,331",20200417
NG31,"£193,367",20200417
NG32,"£349,979",20200417
NG33,"£306,264",20200417
NG34,"£218,018",20200417
NG70,,20200417
NG80,—,20200417
NG90,,20200417
NN1,"£208,447",20200417
NN2,"£223,620",20200417
NN3,"£244,696",20200417
NN4,"£294,905",20200417
NN5,"£237,673",20200417
NN6,"£391,343",20200417
NN7,"£379,310",20200417
NN8,"£208,900",20200417
NN9,"£238,626",20200417
NN10,"£234,771",20200417
NN11,"£289,299",20200417
NN12,"£387,360",20200417
NN13,"£370,269",20200417
NN14,"£281,223",20200417
NN15,"£261,276",20200417
NN16,"£184,881",20200417
NN17,"£200,773",20200417
NN18,"£191,243",20200417
NN29,"£281,673",20200417
NN99,,20200417
NPT,,20200417
NP1,,20200417
NP2,,20200417
NP3,,20200417
NP4,"£167,938",20200417
NP5,,20200417
NP6,,20200417
NP7,"£290,914",20200417
NP8,"£347,492",20200417
NP9,,20200417
NP10,"£253,928",20200417
NP11,"£143,107",20200417
NP12,"£168,003",20200417
NP13,"£93,019",20200417
NP15,"£383,677",20200417
NP16,"£338,060",20200417
NP18,"£291,108",20200417
NP19,"£161,761",20200417
NP20,"£187,830",20200417
NP22,"£115,906",20200417
NP23,"£124,354",20200417
NP24,"£80,445",20200417
NP25,"£340,683",20200417
NP26,"£286,739",20200417
NP44,"£186,721",20200417
NR1,"£233,516",20200417
NR2,"£291,582",20200417
NR3,"£199,237",20200417
NR4,"£359,801",20200417
NR5,"£228,824",20200417
NR6,"£249,858",20200417
NR7,"£262,043",20200417
NR8,"£272,186",20200417
NR9,"£338,539",20200417
NR10,"£284,264",20200417
NR11,"£311,806",20200417
NR12,"£314,276",20200417
NR13,"£324,700",20200417
NR14,"£333,483",20200417
NR15,"£327,386",20200417
NR16,"£356,662",20200417
NR17,"£281,649",20200417
NR18,"£296,280",20200417
NR19,"£231,802",20200417
NR20,"£317,307",20200417
NR21,"£287,487",20200417
NR22,"£360,223",20200417
NR23,"£416,522",20200417
NR24,"£302,839",20200417
NR25,"£426,925",20200417
NR26,"£305,520",20200417
NR27,"£278,877",20200417
NR28,"£256,671",20200417
NR29,"£268,253",20200417
NR30,"£167,713",20200417
NR31,"£202,982",20200417
NR32,"£200,515",20200417
NR33,"£199,094",20200417
NR34,"£282,178",20200417
NR35,"£279,018",20200417
NR99,,20200417
NW1,"£1,092,904",20200417
NW1W,,20200417
NW2,"£676,299",20200417
NW3,"£1,588,957",20200417
NW4,"£725,931",20200417
NW5,"£864,090",20200417
NW6,"£919,223",20200417
NW7,"£753,983",20200417
NW8,"£1,619,748",20200417
NW9,"£462,876",20200417
NW10,"£593,821",20200417
NW11,"£1,191,261",20200417
NW26,,20200417
